				8kHz						10kHz						13kHz						16kHz						20kHz						23kHz						26kHz						30kHz						
PInG	Trigger	L1 seed	Proposed dataset	L1 Rate (Unprescaled)	L1 Prescale	L1 Rate (Prescaled)	Unprescaled rate	HLT Prescale	Prescaled rate	L1 Rate (Unprescaled)	L1 Prescale	L1 Rate (Prescaled)	Unprescaled rate	HLT Prescale	Prescaled rate	L1 Rate (Unprescaled)	L1 Prescale	L1 Rate (Prescaled)	Unprescaled rate	HLT Prescale	Prescaled rate	L1 Rate (Unprescaled)	L1 Prescale	L1 Rate (Prescaled)	Unprescaled rate	HLT Prescale	Prescaled rate	L1 Rate (Unprescaled)	L1 Prescale	L1 Rate (Prescaled)	Unprescaled rate	HLT Prescale	Prescaled rate	L1 Rate (Unprescaled)	L1 Prescale	L1 Rate (Prescaled)	Unprescaled rate	HLT Prescale	Prescaled rate	L1 Rate (Unprescaled)	L1 Prescale	L1 Rate (Prescaled)	Unprescaled rate	HLT Prescale	Prescaled rate	L1 Rate (Unprescaled)	L1 Prescale	L1 Rate (Prescaled)	Unprescaled rate	HLT Prescale	Prescaled rate	EvtSize (KB)
	HLT_HIMinimumBias_part0_v1	L1_MinimumBiasHF1_AND_BptxAND	AAHIMinimumBiasN	8000	1	8000	8000	16	500	10000	1	10000	10000	20	500	13000	1	13000	13000	26	500	16000	1	16000	16000	32	500	20000	1	20000	20000	40	500	23000	2	11500	23000	23	500	26000	2	13000	26000	26	500	30000	2	15000	30000	30	500	1000
																																																				
																																																				
	HLT_HIUPC_DoubleMu0_NotMBHF2OR_MaxPixelTrack_v1	L1_DoubleMu0_NotMinimumBiasHF2_OR_BptxAND	HIForward	0.6	1	0.64	0.3	1	0.32	0.8	1	0.8	0.4	1	0.4	1	1	1.04	0.5	1	0.52	1.3	1	1.28	0.6	1	0.64	1.6	1	1.6	0.8	1	0.8	1.8	1	1.84	0.9	1	0.92	2.1	1	2.08	1	1	1.04	2.4	1	2.4	1.2	1	1.2	100
	HLT_HIUPC_DoubleMu0_NotMBHF2AND_MaxPixelTrack_v1	L1_DoubleMu0_NotMinimumBiasHF2_AND_BptxAND	HIForward	4	1	4	2.6	1	2.56	5	1	5	3.2	1	3.2	6.5	1	6.5	4.2	1	4.16	8	1	8	5.1	1	5.12	10	1	10	6.4	1	6.4	11.5	1	11.5	7.4	1	7.36	13	1	13	8.3	1	8.32	15	1	15	9.6	1	9.6	100
	HLT_HIUPC_DoubleMu0_NotMBHF2AND_v1	L1_DoubleMu0_NotMinimumBiasHF2_AND_BptxAND	HIForward	4	1	4	4	1	4	5	1	5	5	1	5	6.5	1	6.5	6.5	1	6.5	8	1	8	8	1	8	10	1	10	10	1	10	11.5	1	11.5	11.5	1	11.5	13	1	13	13	1	13	15	1	15	15	1	15	100
	HLT_HIUPC_DoubleMu0_NotMBHF2OR_v1	L1_DoubleMu0_NotMinimumBiasHF2_OR_BptxAND	HIForward	0.6	1	0.64	0.6	1	0.64	0.8	1	0.8	0.8	1	0.8	1	1	1.04	1	1	1.04	1.3	1	1.28	1.3	1	1.28	1.6	1	1.6	1.6	1	1.6	1.8	1	1.84	1.8	1	1.84	2.1	1	2.08	2.1	1	2.08	2.4	1	2.4	2.4	1	2.4	100
																																																				
	HLT_HIUPC_DoubleEG2_BptxAND_SinglePixelTrack_MaxPixelTrack_v1	L1_DoubleEG2_BptxAND	HIForward	288	0	#DIV/0!	#DIV/0!	0	#DIV/0!	360	0	#DIV/0!	#DIV/0!	0	#DIV/0!	468	0	#DIV/0!	#DIV/0!	0	#DIV/0!	576	0	#DIV/0!	#DIV/0!	0	#DIV/0!	720	0	#DIV/0!	#DIV/0!	0	#DIV/0!	828	0	#DIV/0!	#DIV/0!	0	#DIV/0!	936	0	#DIV/0!	#DIV/0!	0	#DIV/0!	1080	0	#DIV/0!	#DIV/0!	0	#DIV/0!	100
	HLT_HIUPC_DoubleEG2_NotMBHF2OR_SinglePixelTrack_MaxPixelTrack_v1	L1_DoubleEG2_NotMinimumBiasHF2_OR_BptxAND	HIForward	0.3	1	0.32	0.1	1	0.08	0.4	1	0.4	0.1	1	0.1	0.5	1	0.52	0.1	1	0.13	0.6	1	0.64	0.2	1	0.16	0.8	1	0.8	0.2	1	0.2	0.9	1	0.92	0.2	1	0.23	1	1	1.04	0.3	1	0.26	1.2	1	1.2	0.3	1	0.3	100
	HLT_HIUPC_DoubleEG2_NotMBHF2OR_v1	L1_DoubleEG2_NotMinimumBiasHF2_OR_BptxAND	HIForward	0.3	1	0.32	0.3	1	0.32	0.4	1	0.4	0.4	1	0.4	0.5	1	0.52	0.5	1	0.52	0.6	1	0.64	0.6	1	0.64	0.8	1	0.8	0.8	1	0.8	0.9	1	0.92	0.9	1	0.92	1	1	1.04	1	1	1.04	1.2	1	1.2	1.2	1	1.2	100
	HLT_HIUPC_DoubleEG2_NotMBHF2OR_SinglePixelTrack_v1	L1_DoubleEG2_NotMinimumBiasHF2_OR_BptxAND	HIForward	0.3	1	0.32	0.2	1	0.16	0.4	1	0.4	0.2	1	0.2	0.5	1	0.52	0.3	1	0.26	0.6	1	0.64	0.3	1	0.32	0.8	1	0.8	0.4	1	0.4	0.9	1	0.92	0.5	1	0.46	1	1	1.04	0.5	1	0.52	1.2	1	1.2	0.6	1	0.6	100
	HLT_HIUPC_DoubleEG2_NotMBHF2AND_SinglePixelTrack_MaxPixelTrack_v1	L1_DoubleEG2_NotMinimumBiasHF2_AND_BptxAND	HIForward	12.5	1	12.48	0.2	1	0.24	15.6	1	15.6	0.3	1	0.3	20.3	1	20.28	0.4	1	0.39	25	1	24.96	0.5	1	0.48	31.2	1	31.2	0.6	1	0.6	35.9	1	35.88	0.7	1	0.69	40.6	1	40.56	0.8	1	0.78	46.8	1	46.8	0.9	1	0.9	100
