				8kHz						10kHz						13kHz						16kHz						20kHz						23kHz						26kHz						30kHz						
PInG	Trigger	L1 seed	Proposed dataset	L1 Rate (Unprescaled)	L1 Prescale	L1 Rate (Prescaled)	Unprescaled rate	HLT Prescale	Prescaled rate	L1 Rate (Unprescaled)	L1 Prescale	L1 Rate (Prescaled)	Unprescaled rate	HLT Prescale	Prescaled rate	L1 Rate (Unprescaled)	L1 Prescale	L1 Rate (Prescaled)	Unprescaled rate	HLT Prescale	Prescaled rate	L1 Rate (Unprescaled)	L1 Prescale	L1 Rate (Prescaled)	Unprescaled rate	HLT Prescale	Prescaled rate	L1 Rate (Unprescaled)	L1 Prescale	L1 Rate (Prescaled)	Unprescaled rate	HLT Prescale	Prescaled rate	L1 Rate (Unprescaled)	L1 Prescale	L1 Rate (Prescaled)	Unprescaled rate	HLT Prescale	Prescaled rate	L1 Rate (Unprescaled)	L1 Prescale	L1 Rate (Prescaled)	Unprescaled rate	HLT Prescale	Prescaled rate	L1 Rate (Unprescaled)	L1 Prescale	L1 Rate (Prescaled)	Unprescaled rate	HLT Prescale	Prescaled rate	EvtSize (KB)
	HLT_HIMinimumBias_part0_v1	L1_MinimumBiasHF1_AND_BptxAND	AAHIMinimumBiasN	8000	1	8000	8000	16	500	10000	1	10000	10000	20	500	13000	1	13000	13000	26	500	16000	1	16000	16000	32	500	20000	1	20000	20000	40	500	23000	2	11500	23000	23	500	26000	2	13000	26000	26	500	30000	2	15000	30000	30	500	1000
																																																				
																																																				
DiLepton	HLT_HIL1DoubleMuOpen_v1	L1_DoubleMuOpen_BptxAND	HIDoubleMuon	274.4	1	274.4	274.4	139	1.97	343	1	343	343	71	4.83	445.9	1	445.9	445.9	89	5.01011236	548.8	1	548.8	548.8	113	4.856637168	686	1	686	686	139	4.94	788.9	1	788.9	788.9	167	4.723952096	891.8	1	891.8	891.8	191	4.669109948	1029	1	1029	1029	211	4.88	3000
	HLT_HIL1DoubleMuOpen_OS_Centrality_40_100_v1	L1_DoubleMuOpen_Centrality_40_100_BptxAND	HIDoubleMuon	6.9	1	6.9152	6.9	1	6.92	8.6	1	8.644	8.6	1	8.64	11.2	1	11.2372	11.2	1	11.2372	13.8	1	13.8304	13.8	1	13.8304	17.3	1	17.288	17.3	1	17.29	19.9	1	19.8812	19.9	1	19.8812	22.5	1	22.4744	22.5	1	22.4744	25.9	1	25.932	25.9	1	25.93	300
	HLT_HIL1DoubleMuOpen_Centrality_50_100_v1	L1_DoubleMuOpen_Centrality_50_100_BptxAND	HIDoubleMuon	3.7	1	3.68	3.7	1	3.68	4.6	1	4.6	4.6	1	4.6	6	1	5.98	6	1	5.98	7.4	1	7.36	7.4	1	7.36	9.2	1	9.2	9.2	1	9.2	10.6	1	10.58	10.6	1	10.58	12	1	11.96	12	1	11.96	13.8	1	13.8	13.8	1	13.8	220
	HLT_HIL1DoubleMu10_v1	L1_DoubleMu10_BptxAND	HIDoubleMuon	0.2	1	0.208	0.2	1	0.21	0.3	1	0.26	0.3	1	0.26	0.3	1	0.338	0.3	1	0.338	0.4	1	0.416	0.4	1	0.416	0.5	1	0.52	0.5	1	0.52	0.6	1	0.598	0.6	1	0.598	0.7	1	0.676	0.7	1	0.676	0.8	1	0.78	0.8	1	0.78	3000
	HLT_HIL2_L1DoubleMu10_v1	L1_DoubleMu10_BptxAND	HIDoubleMuon	0.2	1	0.208	0.2	1	0.19	0.3	1	0.26	0.2	1	0.24	0.3	1	0.338	0.3	1	0.312	0.4	1	0.416	0.4	1	0.384	0.5	1	0.52	0.5	1	0.48	0.6	1	0.598	0.6	1	0.552	0.7	1	0.676	0.6	1	0.624	0.8	1	0.78	0.7	1	0.72	3000
	HLT_HIL3_L1DoubleMu10_v1	L1_DoubleMu10_BptxAND	HIDoubleMuon	0.2	1	0.208	0.2	1	0.19	0.3	1	0.26	0.2	1	0.24	0.3	1	0.338	0.3	1	0.312	0.4	1	0.416	0.4	1	0.384	0.5	1	0.52	0.5	1	0.48	0.6	1	0.598	0.6	1	0.552	0.7	1	0.676	0.6	1	0.624	0.8	1	0.78	0.7	1	0.72	3000
	HLT_HIL2DoubleMuOpen_v1	L1_DoubleMuOpen_BptxAND	HIDoubleMuon	274.4	1	274.4	169.4	89	1.9	343	1	343	211.8	37	5.72	445.9	1	445.9	275.3	53	5.19509434	548.8	1	548.8	338.9	61	5.555409836	686	1	686	423.6	79	5.36	788.9	1	788.9	487.1	97	5.022061856	891.8	1	891.8	550.7	109	5.052110092	1029	1	1029	635.4	127	5	3000
223	HLT_HIL3DoubleMuOpen_v1	L1_DoubleMuOpen_BptxAND	HIDoubleMuon	274.4	1	274.4	5.3	1	5.28	343	1	343	6.6	1	6.6	445.9	1	445.9	8.6	1	8.58	548.8	1	548.8	10.6	1	10.56	686	1	686	13.2	1	13.2	788.9	1	788.9	15.2	1	15.18	891.8	1	891.8	17.2	1	17.16	1029	1	1029	19.8	1	19.8	3000
11	HLT_HIL3DoubleMuOpen_M60120_v1	L1_DoubleMuOpen_BptxAND	HIDoubleMuon	274.4	1	274.4	0	1	0	343	1	343	0	1	0	445.9	1	445.9	0	1	0	548.8	1	548.8	0	1	0	686	1	686	0	1	0	788.9	1	788.9	0	1	0	891.8	1	891.8	0	1	0	1029	1	1029	0	1	0	3000
3	HLT_HIL3DoubleMuOpen_JpsiPsi_v1	L1_DoubleMuOpen_BptxAND	HIDoubleMuon	274.4	1	274.4	0.8	1	0.76	343	1	343	1	1	0.95	445.9	1	445.9	1.2	1	1.235	548.8	1	548.8	1.5	1	1.52	686	1	686	1.9	1	1.9	788.9	1	788.9	2.2	1	2.185	891.8	1	891.8	2.5	1	2.47	1029	1	1029	2.9	1	2.85	3000
1	HLT_HIL3DoubleMuOpen_Upsi_v1	L1_DoubleMuOpen_BptxAND	HIDoubleMuon	274.4	1	274.4	0.7	1	0.72	343	1	343	0.9	1	0.9	445.9	1	445.9	1.2	1	1.17	548.8	1	548.8	1.4	1	1.44	686	1	686	1.8	1	1.8	788.9	1	788.9	2.1	1	2.07	891.8	1	891.8	2.3	1	2.34	1029	1	1029	2.7	1	2.7	3000
1	HLT_HIL3Mu0_L2Mu0_v1	L1_DoubleMuOpen_BptxAND	HIDoubleMuon	274.4	1	274.4	36.8	19	1.94	343	1	343	46	11	4.18	445.9	1	445.9	59.8	13	4.6	548.8	1	548.8	73.6	13	5.661538462	686	1	686	92	19	4.84	788.9	1	788.9	105.8	19	5.568421053	891.8	1	891.8	119.6	23	5.2	1029	1	1029	138	29	4.76	3000
1	HLT_HIL3Mu0NHitQ10_L2Mu0_MAXdR3p5_M1to5_v1	L1_DoubleMuOpen_MaxDr3p5_BptxAND	HIDoubleMuon	274.4	1	274.4	7.7	1	7.68	343	1	343	9.6	1	9.6	445.9	1	445.9	12.5	1	12.4852	548.8	1	548.8	15.4	1	15.3664	686	1	686	19.2	1	19.21	788.9	1	788.9	22.1	1	22.0892	891.8	1	891.8	25	1	24.9704	1029	1	1029	28.8	1	28.81	3000
	HLT_HIL3Mu2p5NHitQ10_L2Mu2_M7toinf_v1	L1_DoubleMuOpen_BptxAND	HIDoubleMuon	274.4	1	274.4	10.4	1	10.37	343	1	343	13	1	12.96	445.9	1	445.9	16.8	1	16.8454	548.8	1	548.8	20.7	1	20.7328	686	1	686	25.9	1	25.92	788.9	1	788.9	29.8	1	29.8034	891.8	1	891.8	33.7	1	33.6908	1029	1	1029	38.9	1	38.87	3000
	HLT_HIL3Mu3_L1TripleMuOpen_v1	L1_SingleMuOpen_BptxAND	HIDoubleMuon	1255.4	1	1255.36	13.6	7	1.94	1569.2	1	1569.2	17	2	8.5	2040	1	2039.96	22.1	3	7.366666667	2510.7	1	2510.72	27.2	5	5.44	3138.4	1	3138.4	34	7	4.86	3609.2	1	3609.16	39.1	7	5.585714286	4079.9	1	4079.92	44.2	11	4.018181818	4707.6	1	4707.6	51	13	3.92	3000
																																																				
	HLT_HIL1MuOpen_Centrality_70_100_v1	L1_SingleMuOpen_Centrality_70_100_MinimumBiasHF1_AND_BptxAND	HISingleMuon	17	1	17.04	17	0	#DIV/0!	21.3	1	21.3	21.3	0	#DIV/0!	27.7	1	27.69	27.7	0	#DIV/0!	34.1	1	34.08	34.1	0	#DIV/0!	42.6	1	42.6	42.6	0	#DIV/0!	49	1	48.99	49	0	#DIV/0!	55.4	1	55.38	55.4	0	#DIV/0!	63.9	1	63.9	63.9	0	#DIV/0!	130
	HLT_HIL1MuOpen_Centrality_80_100_v1	L1_SingleMuOpen_Centrality_80_100_MinimumBiasHF1_AND_BptxAND	HISingleMuon	5.8	1	5.848	5.8	1	5.85	7.3	1	7.31	7.3	1	7.31	9.5	1	9.503	9.5	1	9.503	11.7	1	11.696	11.7	1	11.696	14.6	1	14.62	14.6	1	14.62	16.8	1	16.813	16.8	1	16.813	19	1	19.006	19	1	19.006	21.9	1	21.93	21.9	1	21.93	110
	HLT_HIL2Mu3_NHitQ15_v1	L1_SingleMuOpen_BptxAND	HISingleMuon	1255.4	1	1255.36	257.6	197	1.31	1569.2	1	1569.2	322	251	1.28	2040	1	2039.96	418.6	331	1.264652568	2510.7	1	2510.72	515.2	401	1.28478803	3138.4	1	3138.4	644	509	1.27	3609.2	1	3609.16	740.6	571	1.297022767	4079.9	1	4079.92	837.2	653	1.282082695	4707.6	1	4707.6	966	739	1.31	3000
	HLT_HIL2Mu5_NHitQ15_v1	L1_SingleMuOpen_BptxAND	HISingleMuon	1255.4	1	1255.36	85.3	67	1.27	1569.2	1	1569.2	106.6	89	1.2	2040	1	2039.96	138.6	107	1.295140187	2510.7	1	2510.72	170.6	131	1.301984733	3138.4	1	3138.4	213.2	173	1.23	3609.2	1	3609.16	245.2	191	1.283664921	4079.9	1	4079.92	277.2	211	1.313554502	4707.6	1	4707.6	319.8	251	1.27	3000
	HLT_HIL2Mu7_NHitQ15_v1	L1_SingleMuOpen_BptxAND	HISingleMuon	1255.4	1	1255.36	27.4	23	1.19	1569.2	1	1569.2	34.2	29	1.18	2040	1	2039.96	44.5	37	1.201621622	2510.7	1	2510.72	54.7	43	1.27255814	3138.4	1	3138.4	68.4	53	1.29	3609.2	1	3609.16	78.7	61	1.289508197	4079.9	1	4079.92	88.9	71	1.252394366	4707.6	1	4707.6	102.6	79	1.3	3000
	HLT_HIL3Mu12_v1	L1_SingleMuOpen_BptxAND	HISingleMuon	1255.4	1	1255.36	4	1	4	1569.2	1	1569.2	5	1	5	2040	1	2039.96	6.5	1	6.5	2510.7	1	2510.72	8	1	8	3138.4	1	3138.4	10	1	10	3609.2	1	3609.16	11.5	1	11.5	4079.9	1	4079.92	13	1	13	4707.6	1	4707.6	15	1	15	3000
	HLT_HIL3Mu15_v1	L1_SingleMuOpen_BptxAND	HISingleMuon	1255.4	1	1255.36	1.9	1	1.92	1569.2	1	1569.2	2.4	1	2.4	2040	1	2039.96	3.1	1	3.12	2510.7	1	2510.72	3.8	1	3.84	3138.4	1	3138.4	4.8	1	4.8	3609.2	1	3609.16	5.5	1	5.52	4079.9	1	4079.92	6.2	1	6.24	4707.6	1	4707.6	7.2	1	7.2	3000
	HLT_HIL3Mu20_v1	L1_SingleMuOpen_BptxAND	HISingleMuon	1255.4	1	1255.36	1.1	1	1.07	1569.2	1	1569.2	1.3	1	1.34	2040	1	2039.96	1.7	1	1.742	2510.7	1	2510.72	2.1	1	2.144	3138.4	1	3138.4	2.7	1	2.68	3609.2	1	3609.16	3.1	1	3.082	4079.9	1	4079.92	3.5	1	3.484	4707.6	1	4707.6	4	1	4.02	3000
	HLT_HIL3Mu3_NHitQ10_v1	L1_SingleMuOpen_BptxAND	HISingleMuon	1255.4	1	1255.36	137.3	13	10.56	1569.2	1	1569.2	171.6	13	13.2	2040	1	2039.96	223.1	19	11.74105263	2510.7	1	2510.72	274.6	19	14.45052632	3138.4	1	3138.4	343.2	11	31.2	3609.2	1	3609.16	394.7	11	35.88	4079.9	1	4079.92	446.2	13	34.32	4707.6	1	4707.6	514.8	19	27.09	3000
	HLT_HIL3Mu5_NHitQ10_v1	L1_SingleMuOpen_BptxAND	HISingleMuon	1255.4	1	1255.36	54.7	5	10.94	1569.2	1	1569.2	68.4	7	9.77	2040	1	2039.96	88.9	7	12.70285714	2510.7	1	2510.72	109.4	11	9.949090909	3138.4	1	3138.4	136.8	3	45.6	3609.2	1	3609.16	157.3	5	31.464	4079.9	1	4079.92	177.8	5	35.568	4707.6	1	4707.6	205.2	7	29.31	3000
	HLT_HIL3Mu7_NHitQ10_v1	L1_SingleMuOpen_BptxAND	HISingleMuon	1255.4	1	1255.36	19.8	2	9.92	1569.2	1	1569.2	24.8	3	8.27	2040	1	2039.96	32.2	3	10.74666667	2510.7	1	2510.72	39.7	5	7.936	3138.4	1	3138.4	49.6	2	24.8	3609.2	1	3609.16	57	2	28.52	4079.9	1	4079.92	64.5	3	21.49333333	4707.6	1	4707.6	74.4	3	24.8	3000
	HLT_HIL3Mu3Eta2p5_PuAK4CaloJet40Eta2p1_v1	L1_SingleMuOpen_SingleJet28_MidEta2p7_BptxAND	HISingleMuon	991.2	1	991.2	57.038	41	1.391170732	1239	1	1239	71.3	53	1.345235849	1610.7	1	1610.7	92.7	67	1.383384328	1982.4	1	1982.4	114.1	83	1.374409639	2478	1	2478	142.6	103	1.384417476	2849.7	1	2849.7	164	119	1.378018908	3221.4	1	3221.4	185.4	137	1.353091241	3717	1	3717	213.9	157	1.362372611	3000
	HLT_HIL3Mu3Eta2p5_PuAK4CaloJet60Eta2p1_v1	L1_SingleMuOpen_SingleJet44_MidEta2p7_BptxAND	HISingleMuon	658.7	1	658.7	4.27	1	4.27	823.4	1	823.375	5.3	1	5.3375	1070.4	1	1070.3875	6.9	1	6.93875	1317.4	1	1317.4	8.5	1	8.54	1646.8	1	1646.75	10.7	2	5.3375	1893.8	1	1893.7625	12.3	2	6.138125	2140.8	1	2140.775	13.9	3	4.625833333	2470.1	1	2470.125	16	3	5.3375	3000
	HLT_HIL3Mu3Eta2p5_PuAK4CaloJet80Eta2p1_v1	L1_SingleMuOpen_SingleJet56_MidEta2p7_BptxAND	HISingleMuon	374.6	1	374.6	0.793	1	0.793	468.3	1	468.25	1	1	0.99125	608.7	1	608.725	1.3	1	1.288625	749.2	1	749.2	1.6	1	1.586	936.5	1	936.5	2	1	1.9825	1077	1	1076.975	2.3	1	2.279875	1217.5	1	1217.45	2.6	1	2.57725	1404.8	1	1404.75	3	1	2.97375	3000
	HLT_HIL3Mu3Eta2p5_PuAK4CaloJet100Eta2p1_v1	L1_SingleMuOpen_SingleJet64_MidEta2p7_BptxAND	HISingleMuon	208.5	1	208.5	0.324	1	0.324	260.6	1	260.625	0.4	1	0.405	338.8	1	338.8125	0.5	1	0.5265	417	1	417	0.6	1	0.648	521.3	1	521.25	0.8	1	0.81	599.4	1	599.4375	0.9	1	0.9315	677.6	1	677.625	1.1	1	1.053	781.9	1	781.875	1.2	1	1.215	3000
	HLT_HIL3Mu5Eta2p5_PuAK4CaloJet40Eta2p1_v1	L1_SingleMuOpen_SingleJet28_MidEta2p7_BptxAND	HISingleMuon	991.2	1	991.2	26.357	13	2.027461538	1239	1	1239	32.9	5	6.58925	1610.7	1	1610.7	42.8	5	8.566025	1982.4	1	1982.4	52.7	7	7.530571429	2478	1	2478	65.9	7	9.413214286	2849.7	1	2849.7	75.8	11	6.888761364	3221.4	1	3221.4	85.7	13	6.58925	3717	1	3717	98.8	13	7.602980769	3000
	HLT_HIL3Mu5Eta2p5_PuAK4CaloJet60Eta2p1_v1	L1_SingleMuOpen_SingleJet44_MidEta2p7_BptxAND	HISingleMuon	658.7	1	658.7	1.982	1	1.982	823.4	1	823.375	2.5	1	2.4775	1070.4	1	1070.3875	3.2	1	3.22075	1317.4	1	1317.4	4	1	3.964	1646.8	1	1646.75	5	1	4.955	1893.8	1	1893.7625	5.7	1	5.69825	2140.8	1	2140.775	6.4	1	6.4415	2470.1	1	2470.125	7.4	1	7.4325	3000
	HLT_HIL3Mu5Eta2p5_PuAK4CaloJet80Eta2p1_v1	L1_SingleMuOpen_SingleJet56_MidEta2p7_BptxAND	HISingleMuon	374.6	1	374.6	0.468	1	0.468	468.3	1	468.25	0.6	1	0.585	608.7	1	608.725	0.8	1	0.7605	749.2	1	749.2	0.9	1	0.936	936.5	1	936.5	1.2	1	1.17	1077	1	1076.975	1.3	1	1.3455	1217.5	1	1217.45	1.5	1	1.521	1404.8	1	1404.75	1.8	1	1.755	3000
	HLT_HIL3Mu5Eta2p5_PuAK4CaloJet100Eta2p1_v1	L1_SingleMuOpen_SingleJet64_MidEta2p7_BptxAND	HISingleMuon	208.5	1	208.5	0.18	1	0.18	260.6	1	260.625	0.2	1	0.225	338.8	1	338.8125	0.3	1	0.2925	417	1	417	0.4	1	0.36	521.3	1	521.25	0.5	1	0.45	599.4	1	599.4375	0.5	1	0.5175	677.6	1	677.625	0.6	1	0.585	781.9	1	781.875	0.7	1	0.675	3000
	HLT_HIL3Mu3Eta2p5_PuAK4CaloJet40Eta2p1_FilterDr_v1	L1_SingleMuOpen_SingleJet28_MidEta2p7_BptxAND	HISingleMuon	991.2	1	991.2	49.58	37	1.34	1239	1	1239	62	47	1.318617021	1610.7	1	1610.7	80.6	59	1.365550847	1982.4	1	1982.4	99.2	73	1.358356164	2478	1	2478	124	89	1.392696629	2849.7	1	2849.7	142.5	107	1.332172897	3221.4	1	3221.4	161.1	117	1.377222222	3717	1	3717	185.9	137	1.357116788	3000
	HLT_HIL3Mu3Eta2p5_PuAK4CaloJet60Eta2p1_FilterDr_v1	L1_SingleMuOpen_SingleJet44_MidEta2p7_BptxAND	HISingleMuon	658.7	1	658.7	3.369	1	3.369	823.4	1	823.375	4.2	1	4.21125	1070.4	1	1070.3875	5.5	1	5.474625	1317.4	1	1317.4	6.7	1	6.738	1646.8	1	1646.75	8.4	2	4.21125	1893.8	1	1893.7625	9.7	2	4.8429375	2140.8	1	2140.775	10.9	2	5.474625	2470.1	1	2470.125	12.6	2	6.316875	3000
	HLT_HIL3Mu3Eta2p5_PuAK4CaloJet80Eta2p1_FilterDr_v1	L1_SingleMuOpen_SingleJet56_MidEta2p7_BptxAND	HISingleMuon	374.6	1	374.6	0.577	1	0.577	468.3	1	468.25	0.7	1	0.72125	608.7	1	608.725	0.9	1	0.937625	749.2	1	749.2	1.2	1	1.154	936.5	1	936.5	1.4	1	1.4425	1077	1	1076.975	1.7	1	1.658875	1217.5	1	1217.45	1.9	1	1.87525	1404.8	1	1404.75	2.2	1	2.16375	3000
	HLT_HIL3Mu3Eta2p5_PuAK4CaloJet100Eta2p1_FilterDr_v1	L1_SingleMuOpen_SingleJet64_MidEta2p7_BptxAND	HISingleMuon	208.5	1	208.5	0.234	1	0.234	260.6	1	260.625	0.3	1	0.2925	338.8	1	338.8125	0.4	1	0.38025	417	1	417	0.5	1	0.468	521.3	1	521.25	0.6	1	0.585	599.4	1	599.4375	0.7	1	0.67275	677.6	1	677.625	0.8	1	0.7605	781.9	1	781.875	0.9	1	0.8775	3000
	HLT_HIL3Mu5Eta2p5_PuAK4CaloJet40Eta2p1_FilterDr_v1	L1_SingleMuOpen_SingleJet28_MidEta2p7_BptxAND	HISingleMuon	991.2	1	991.2	22.97	13	1.766923077	1239	1	1239	28.7	5	5.7425	1610.7	1	1610.7	37.3	7	5.332321429	1982.4	1	1982.4	45.9	7	6.562857143	2478	1	2478	57.4	7	8.203571429	2849.7	1	2849.7	66	11	6.003522727	3221.4	1	3221.4	74.7	13	5.7425	3717	1	3717	86.1	13	6.625961538	3000
	HLT_HIL3Mu5Eta2p5_PuAK4CaloJet60Eta2p1_FilterDr_v1	L1_SingleMuOpen_SingleJet44_MidEta2p7_BptxAND	HISingleMuon	658.7	1	658.7	1.477	1	1.477	823.4	1	823.375	1.8	1	1.84625	1070.4	1	1070.3875	2.4	1	2.400125	1317.4	1	1317.4	3	1	2.954	1646.8	1	1646.75	3.7	1	3.6925	1893.8	1	1893.7625	4.2	1	4.246375	2140.8	1	2140.775	4.8	1	4.80025	2470.1	1	2470.125	5.5	1	5.53875	3000
	HLT_HIL3Mu5Eta2p5_PuAK4CaloJet80Eta2p1_FilterDr_v1	L1_SingleMuOpen_SingleJet56_MidEta2p7_BptxAND	HISingleMuon	374.6	1	374.6	0.342	1	0.342	468.3	1	468.25	0.4	1	0.4275	608.7	1	608.725	0.6	1	0.55575	749.2	1	749.2	0.7	1	0.684	936.5	1	936.5	0.9	1	0.855	1077	1	1076.975	1	1	0.98325	1217.5	1	1217.45	1.1	1	1.1115	1404.8	1	1404.75	1.3	1	1.2825	3000
	HLT_HIL3Mu5Eta2p5_PuAK4CaloJet100Eta2p1_FilterDr_v1	L1_SingleMuOpen_SingleJet64_MidEta2p7_BptxAND	HISingleMuon	208.5	1	208.5	0.126	1	0.126	260.6	1	260.625	0.2	1	0.1575	338.8	1	338.8125	0.2	1	0.20475	417	1	417	0.3	1	0.252	521.3	1	521.25	0.3	1	0.315	599.4	1	599.4375	0.4	1	0.36225	677.6	1	677.625	0.4	1	0.4095	781.9	1	781.875	0.5	1	0.4725	3000
																																																				
HighPT																																																				
	HLT_HIPuAK4CaloJet40Eta5p1_v1	L1_SingleJet28_BptxAND	HIHardProbesLower	2947.6	1	2947.6	963.563	1283	0.751023383	3684.5	1	3684.5	1204.5	1607	0.749504512	4789.9	1	4789.85	1565.8	2087	0.750258685	5895.2	1	5895.2	1927.1	2579	0.747237689	7369	1	7369	2408.9	3209	0.750672328	8474.4	1	8474.35	2770.2	3691	0.750540131	9579.7	1	9579.7	3131.6	4177	0.749719835	11053.5	1	11053.5	3613.4	4817	0.750126894	3000
	HLT_HIPuAK4CaloJet60Eta5p1_v1	L1_SingleJet44_BptxAND	HIHardProbesLower	1598.8	1	1598.8	67.956	89	0.763550562	1998.5	1	1998.5	84.9	109	0.779311927	2598.1	1	2598.05	110.4	139	0.79444964	3197.6	1	3197.6	135.9	179	0.759284916	3997	1	3997	169.9	223	0.761838565	4596.6	1	4596.55	195.4	127	1.538374016	5196.1	1	5196.1	220.9	139	1.588899281	5995.5	1	5995.5	254.8	167	1.525958084	3000
	HLT_HIPuAK4CaloJet80Eta5p1_v1	L1_SingleJet56_BptxAND	HIHardProbes	815.7	1	815.7	11.602	13	0.892461539	1019.6	1	1019.625	14.5	17	0.853088235	1325.5	1	1325.5125	18.9	23	0.819706522	1631.4	1	1631.4	23.2	3	7.734666667	2039.3	1	2039.25	29	3	9.668333333	2345.1	1	2345.1375	33.4	3	11.11858333	2651	1	2651.025	37.7	3	12.56883333	3058.9	1	3058.875	43.5	7	6.215357143	3000
	HLT_HIPuAK4CaloJet100Eta5p1_v1	L1_SingleJet60_BptxAND	HIHardProbes	602.1	1	602.1	3.585	1	3.585	752.6	1	752.625	4.5	1	4.48125	978.4	1	978.4125	5.8	1	5.825625	1204.2	1	1204.2	7.2	1	7.17	1505.3	1	1505.25	9	1	8.9625	1731	1	1731.0375	10.3	1	10.306875	1956.8	1	1956.825	11.7	1	11.65125	2257.9	1	2257.875	13.4	1	13.44375	3000
	HLT_HIPuAK4CaloJet120Eta5p1_v1	L1_SingleJet60_BptxAND	HIHardProbes	602.1	1	602.1	1.423	1	1.423	752.6	1	752.625	1.8	1	1.77875	978.4	1	978.4125	2.3	1	2.312375	1204.2	1	1204.2	2.8	1	2.846	1505.3	1	1505.25	3.6	1	3.5575	1731	1	1731.0375	4.1	1	4.091125	1956.8	1	1956.825	4.6	1	4.62475	2257.9	1	2257.875	5.3	1	5.33625	3000
	HLT_HIPuAK4CaloJet40Fwd_v1	L1_SingleJet28_FWD_BptxAND	HIHardProbesLower	962.6	1	962.6	25.24	29	0.870344828	1203.3	1	1203.25	31.6	37	0.852702703	1564.2	1	1564.225	41	47	0.872659575	1925.2	1	1925.2	50.5	61	0.827540984	2406.5	1	2406.5	63.1	7	9.014285714	2767.5	1	2767.475	72.6	7	10.36642857	3128.5	1	3128.45	82	7	11.71857143	3609.8	1	3609.75	94.7	7	13.52142857	3000
	HLT_HIPuAK4CaloJet60Fwd_v1	L1_SingleJet44_FWD_BptxAND	HIHardProbes	174.5	1	174.5	1.639	1	1.639	218.1	1	218.125	2	1	2.04875	283.6	1	283.5625	2.7	1	2.663375	349	1	349	3.3	1	3.278	436.3	1	436.25	4.1	1	4.0975	501.7	1	501.6875	4.7	1	4.712125	567.1	1	567.125	5.3	1	5.32675	654.4	1	654.375	6.1	1	6.14625	3000
	HLT_HIPuAK4CaloJet80Fwd_v1	L1_SingleJet56_FWD_BptxAND	HIHardProbes	30.3	1	30.3	0.216	1	0.216	37.9	1	37.875	0.3	1	0.27	49.2	1	49.2375	0.4	1	0.351	60.6	1	60.6	0.4	1	0.432	75.8	1	75.75	0.5	1	0.54	87.1	1	87.1125	0.6	1	0.621	98.5	1	98.475	0.7	1	0.702	113.6	1	113.625	0.8	1	0.81	3000
	HLT_HIPuAK4CaloJet100Fwd_v1	L1_SingleJet56_FWD_BptxAND	HIHardProbes	30.3	1	30.3	0.054	1	0.054	37.9	1	37.875	0.1	1	0.0675	49.2	1	49.2375	0.1	1	0.08775	60.6	1	60.6	0.1	1	0.108	75.8	1	75.75	0.1	1	0.135	87.1	1	87.1125	0.2	1	0.15525	98.5	1	98.475	0.2	1	0.1755	113.6	1	113.625	0.2	1	0.2025	3000
	HLT_HIPuAK4CaloJet120Fwd_v1	L1_SingleJet56_FWD_BptxAND	HIHardProbes	30.3	1	30.3	0.018	1	0.018	37.9	1	37.875	0	1	0.0225	49.2	1	49.2375	0	1	0.02925	60.6	1	60.6	0	1	0.036	75.8	1	75.75	0	1	0.045	87.1	1	87.1125	0.1	1	0.05175	98.5	1	98.475	0.1	1	0.0585	113.6	1	113.625	0.1	1	0.0675	3000
	HLT_HIPuAK4CaloJet80_35_Eta1p1_v1	L1_SingleJet56_BptxAND	HIHardProbes	815.7	1	815.7	5.495	5	1.099	1019.6	1	1019.625	6.9	7	0.98125	1325.5	1	1325.5125	8.9	11	0.811761364	1631.4	1	1631.4	11	13	0.845384615	2039.3	1	2039.25	13.7	2	6.86875	2345.1	1	2345.1375	15.8	2	7.8990625	2651	1	2651.025	17.9	2	8.929375	3058.9	1	3058.875	20.6	3	6.86875	3000
	HLT_HIPuAK4CaloJet100_35_Eta1p1_v1	L1_SingleJet56_BptxAND	HIHardProbes	815.7	1	815.7	1.82	1	1.82	1019.6	1	1019.625	2.3	1	2.275	1325.5	1	1325.5125	3	1	2.9575	1631.4	1	1631.4	3.6	1	3.64	2039.3	1	2039.25	4.6	1	4.55	2345.1	1	2345.1375	5.2	1	5.2325	2651	1	2651.025	5.9	1	5.915	3058.9	1	3058.875	6.8	1	6.825	3000
	HLT_HIPuAK4CaloJet80_35_Eta0p7_v1	L1_SingleJet56_BptxAND	HIHardProbes	815.7	1	815.7	3.045	3	1.015	1019.6	1	1019.625	3.8	3	1.26875	1325.5	1	1325.5125	4.9	5	0.989625	1631.4	1	1631.4	6.1	7	0.87	2039.3	1	2039.25	7.6	2	3.80625	2345.1	1	2345.1375	8.8	2	4.3771875	2651	1	2651.025	9.9	2	4.948125	3058.9	1	3058.875	11.4	2	5.709375	3000
	HLT_HIPuAK4CaloJet100_35_Eta0p7_v1	L1_SingleJet56_BptxAND	HIHardProbes	815.7	1	815.7	1.027	1	1.027	1019.6	1	1019.625	1.3	1	1.28375	1325.5	1	1325.5125	1.7	1	1.668875	1631.4	1	1631.4	2.1	1	2.054	2039.3	1	2039.25	2.6	1	2.5675	2345.1	1	2345.1375	3	1	2.952625	2651	1	2651.025	3.3	1	3.33775	3058.9	1	3058.875	3.9	1	3.85125	3000
